"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","33447","P079","11","","","","","","","","","","","","","","",""
"preload","1","2.1.0","34436","P079","11","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","112884","P079","11","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","117642","P079","11","","","","","","","","","","","","","","",""
"emotion-grid","4","null","180381","P079","11","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":454.5,""posY"":362.5},{""image_name"":""hamburger.jpg"",""posX"":589,""posY"":371},{""image_name"":""french_fries_1.jpg"",""posX"":764.5,""posY"":515.5},{""image_name"":""ice_cream_1.jpg"",""posX"":1012.5,""posY"":240.5},{""image_name"":""cookie.jpg"",""posX"":307.5,""posY"":231.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":454.5,""posY"":362.5,""timestamp"":123383},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":215,""posY"":464.5,""timestamp"":148915},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":764.5,""posY"":515.5,""timestamp"":159604},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":1012.5,""posY"":240.5,""timestamp"":163515.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":307.5,""posY"":231.5,""timestamp"":166911},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":589,""posY"":371,""timestamp"":174939}]","1","","",""
"html-button-response","5","2.1.0","186194","P079","11","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","201557","P079","11","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","206826","P079","11","","","","","","","","","","","","","","",""
"emotion-grid","8","null","251216","P079","11","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":343.5,""posY"":246},{""image_name"":""bread.jpg"",""posX"":468,""posY"":255.5},{""image_name"":""croissant.jpg"",""posX"":215.5,""posY"":256.5},{""image_name"":""chocolate_2.jpg"",""posX"":243,""posY"":620.5},{""image_name"":""candy.jpg"",""posX"":372.5,""posY"":644}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":343.5,""posY"":246,""timestamp"":226596},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":468,""posY"":255.5,""timestamp"":238186},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":215.5,""posY"":256.5,""timestamp"":240972},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":243,""posY"":620.5,""timestamp"":243265.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":372.5,""posY"":644,""timestamp"":244949}]","1","","",""
"html-button-response","9","2.1.0","254315","P079","11","","","","","","","","","","","","","3096","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","10","2.1.0","255314","P079","11","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","256958","P079","11","","","","","","","","","","","","","1642","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","12","2.1.0","267880","P079","11","","","","","","","","","","","","","","",""
